timestamp_utc,avg_sentiment,n_headlines,btc_price,eth_price
2026-08-04T10:26:00.463337+00:00,-0.0894,104,63498.71,1857.78
2026-08-04T10:27:33.707678+00:00,-0.053,124,63496.42,1857.36
2026-08-04T10:29:07.125879+00:00,-0.053,124,63470.0,1855.67
2026-08-04T10:32:38.975140+00:00,-0.0691,80,63465.7,1855.77
2026-08-04T10:34:14.164645+00:00,-0.0403,98,63489.46,1857.15
2026-08-04T12:22:10.471201+00:00,-0.0743,11,,
2026-08-04T19:10:41.112181+00:00,0.1249,24,,
2026-08-04T22:47:16.437563+00:00,-0.1561,10,,
2026-08-05T08:08:07.273550+00:00,0.0165,12,,
2026-08-05T10:35:33.818286+00:00,-0.1358,12,64180.02,1872.89
